"","PID","upid","regions"
"626","0201732002",1,"Charlestown"
"627","0201734002",1,"Charlestown"
"628","0201743012",1,"Charlestown"
"629","0201755002",1,"Charlestown"
"630","0201772002",1,"Charlestown"
"631","0201774002",1,"Charlestown"
"632","0201785002",1,"Charlestown"
"633","0201922004",1,"Charlestown"
"634","0202012002",1,"Charlestown"
"635","0202017002",1,"Charlestown"
"636","0202018002",1,"Charlestown"
"637","0202057002",1,"Charlestown"
"638","0202080002",1,"Charlestown"
"639","0202082002",1,"Charlestown"
"640","0202084002",1,"Charlestown"
"641","0202087002",1,"Charlestown"
"642","0202542002",1,"Charlestown"
"643","0202544002",1,"Charlestown"
"644","0202549008",1,"Charlestown"
"645","0202553002",1,"Charlestown"
"646","0202557002",1,"Charlestown"
"647","0202620302",1,"Charlestown"
"648","0202797002",1,"Charlestown"
"649","0202798002",1,"Charlestown"
"650","0202800002",1,"Charlestown"
"651","0202802002",1,"Charlestown"
"652","0202805002",1,"Charlestown"
"653","0202805006",1,"Charlestown"
"654","0202813002",1,"Charlestown"
"655","0202814002",1,"Charlestown"
"656","0202820002",1,"Charlestown"
"657","0202821002",1,"Charlestown"
"658","0202839002",1,"Charlestown"
"659","0202840002",1,"Charlestown"
"660","0202898002",1,"Charlestown"
"661","0202903002",1,"Charlestown"
"662","0202904006",1,"Charlestown"
"663","0202987002",1,"Charlestown"
"664","0202988002",1,"Charlestown"
"665","0202989002",1,"Charlestown"
"666","0202991002",1,"Charlestown"
"667","0203000002",1,"Charlestown"
"668","0203002002",1,"Charlestown"
"669","0203013012",1,"Charlestown"
"670","0203024012",1,"Charlestown"
"671","0203025002",1,"Charlestown"
"672","0203027002",1,"Charlestown"
"673","0203033002",1,"Charlestown"
"674","0203034002",1,"Charlestown"
"675","0203035002",1,"Charlestown"
"676","0203036002",1,"Charlestown"
"677","0203037002",1,"Charlestown"
"678","0203040002",1,"Charlestown"
"679","0203041002",1,"Charlestown"
"680","0203042002",1,"Charlestown"
"681","0203045002",1,"Charlestown"
"682","0203045008",1,"Charlestown"
"683","0203061002",1,"Charlestown"
"684","0203062002",1,"Charlestown"
"685","0203064002",1,"Charlestown"
"686","0203066002",1,"Charlestown"
"687","0203067002",1,"Charlestown"
"688","0203074001",1,"Charlestown"
"689","0203082002",1,"Charlestown"
"690","0203083002",1,"Charlestown"
"691","0203086002",1,"Charlestown"
